ref,title,author,lastRunTime,totalVotes
frtgnn/ml-101-beginner-s-stop-xgb-lgbm-blend,ML 101 Beginner's Stop XGB & LGBM & Blend,Firat Gonen,2023-03-01 11:15:48.473000,292
ohseokkim/house-price-all-about-house-price,[House Price] All about House Price!,OH SEOK KIM,2022-01-11 14:11:31.367000,284
diegosiebra/neural-network-model-for-house-prices-keras,Neural Network Model for House Prices (Keras),Diego Siebra Ferreira,2017-11-03 11:43:38.760000,279
bextuychiev/model-explainability-with-shap-only-guide-u-need,Model Explainability with SHAP: Only Guide U Need,bexgboost,2023-02-21 17:24:33.427000,275
marianadeem755/house-price-prediction-ml-models-deepneuralnetwork,House Price prediction ML Models|DeepNeuralNetwork,maria nadeem,2024-01-30 12:25:41.803000,274
gomes555/xgboost-bayes-opt-with-tidymodels,XGBoost bayes opt with tidymodels,Fellipe Gomes,2020-07-29 02:57:37.910000,274
katotaka/kaggle-prediction-house-prices,Kaggle ??????????:Prediction(??) House Prices,Takahiro KATO,2018-09-28 06:32:12.413000,274
serkanp/house-prices-advanced-regression-techniques,House Prices - Advanced Regression Techniques,Serkan Polat,2023-02-07 09:35:19.347000,272
rbyron/simple-linear-regression-models,Simple linear regression models,Rocío Ventura,2018-03-30 10:28:21.830000,269
adamml/how-to-be-in-top-10-for-beginner,How to be in Top 10% for beginner,Muhammad Raafat,2021-02-14 18:51:34.767000,262
pablocastilla/predict-house-prices-with-xgboost-regression,Predict house prices with XGBoost regression,Pablo Castilla,2016-10-26 08:06:20.520000,260
tahmidmir/house-prices-advanced-regression-techniques,🎉✨House-Prices-Advanced Regression Techniques,Mir Tahmid,2024-06-19 21:43:45.010000,248
alaasedeeq/object-oriented-programming-for-data-science,Object oriented programming for Data Science,Alaa Sedeeq,2022-02-21 18:57:55.840000,248
debarshichanda/handling-missing-values,Handling Missing Values,Debarshi Chanda,2021-05-23 16:33:10.120000,246
paultimothymooney/get-your-model-ready-to-submit,Get your model ready to submit,Paul Mooney,2018-06-13 14:26:44.950000,246
itslek/blend-stack-lr-gb-0-10649-house-prices-v57,Blend&Stack LR&GB = [0.10649] {House Prices} v57,Alex Lekov,2019-03-21 22:21:15.983000,243
pavansanagapati/tableau-intro-use-cases,Tableau Intro & Use Cases!!!!,Pavan Sanagapati,2020-08-02 17:26:05.997000,242
adachowicz/house-prices-random-forest-regression-analysis,House Prices: Random Forest Regression Analysis,Adam Dachowicz,2017-12-02 19:28:55.693000,235
jack89roberts/top-7-using-elasticnet-with-interactions,Top 7% using ElasticNet with Interactions,Jack Roberts,2018-05-30 09:13:04.567000,230
agileteam/house-prices-starter-xgb,House-prices starter (XGB),Kim Tae Heon,2022-11-25 02:42:17.297000,228
