ref,title,author,lastRunTime,totalVotes
gjhlove/swin-t-effb4,swin-t-effb4,GJHlove,2021-12-04 02:44:55.047000,69
dschettler8845/load-efficientnetv2-pretrained-weights-finetune,Load EfficientNetV2 Pretrained Weights & Finetune!,Darien Schettler,2021-10-30 17:14:05.637000,69
markwijkhuizen/petfinder-cats-and-dogs-inference-naive-baseline,PetFinder Cats and Dogs Inference Naive Baseline,Mark Wijkhuizen,2021-10-10 20:28:30.427000,68
abdallahmahmoud/tf-multi-input,[TF] Multi-input,Abdallah Mahmoud Elsayed,2021-11-19 05:28:08.460000,67
lonnieqin/tensorflow-multi-input-pet-pawpularity-model,TensorFlow multi-input Pet Pawpularity Model,Lonnie,2022-12-31 13:56:11.457000,67
cpmpml/pet-064,pet_064,CPMP,2022-01-13 13:40:23.640000,63
alexvishnevskiy/breed-identification,Breed identification,Alex Vishnevskiy,2021-11-08 19:36:10.507000,60
ytakayama/pytorch-baseline-try-to-reproduce-fastai-notebook,pytorch baseline(try to reproduce fastai notebook),y.takayama,2021-12-20 11:59:40.630000,59
gohweizheng/swin-transformer-beginner-friendly-notebook,SWIN Transformer (Beginner friendly notebook),Wz,2022-01-09 14:19:18.930000,59
vinayaktiwari28/pawpularity-resnet-predictions-rmse-19-8,[Pawpularity]ResNet predictions (RMSE--19.8),Vinayak Tiwari,2021-12-12 04:42:32.990000,59
reighns/visualizing-convolution-filters,Visualizing Convolution Filters,gao-hongnan,2021-12-04 08:53:54.340000,59
reighns/petfinder-flexible-pytorch-pipeline,[PetFinder] Flexible PyTorch Pipeline,gao-hongnan,2021-12-17 11:39:49.887000,58
inoueu1/eda-cute-animal-pictures,[EDA?] Cute Animal Pictures,Inoichan,2021-09-23 16:22:47.470000,58
kishalmandal/pawpularity-eda-pca-pseudo-labels,Pawpularity EDA | PCA | Pseudo-Labels💫,Kishal Mandal,2021-11-05 19:05:38.997000,57
kaerunantoka/offense-final,【Offense】final,kaerururu,2022-01-14 02:18:49.197000,55
kishalmandal/ensemble-of-2-best-models-lb-18-02978,Ensemble of 2 best models (LB: 18.02978),Kishal Mandal,2021-10-26 05:04:27.613000,55
currypurin/petfinder-eda-lgb-meta-features-and-img-size,PetFinder EDA + LGB: meta features and img size,currypurin,2021-09-25 17:54:05.883000,55
kishalmandal/eda-of-rapids-svr-actual-vs-pred-comparison,EDA of Rapids SVR | Actual vs Pred Comparison 👀,Kishal Mandal,2021-11-17 17:36:24.480000,54
abhishek/autoxgb-petfinder,AutoXGB: Petfinder,Abhishek Thakur,2021-10-31 11:55:04.607000,54
valleyzw/petfinder-duplicate-images,PetFinder Duplicate Images,valley,2021-10-09 09:08:04.627000,52
michaelfumery/pawpularity-eda-feature-engineering-baseline,Pawpularity - EDA - Feature Engineering - Baseline,Michael FUMERY,2021-10-19 19:23:30.237000,52
carlolepelaars/petfinder2021-eda-baseline,Petfinder2021 - EDA & Baseline,Carlo Lepelaars,2021-09-25 00:04:42.913000,52
fangya/find-pet-a-home-eda-dtree-cnn,🏡 🐱 Find Pet a Home EDA+ DTree+ CNN 🐶,Fangya,2025-09-26 00:07:30.507000,51
vishalkarangale/inceptionv3-10folds-tensorflow,InceptionV3-10folds-Tensorflow,Vishal Karangale,2022-01-04 04:40:39.760000,50
abdallahmahmoud/images-effnet-val-19-78,Images+Effnet(val: 19.78)😄,Abdallah Mahmoud Elsayed,2021-10-18 14:07:38.900000,50
hotsonhonet/petfinder-predictions-using-metadata,Petfinder: Predictions using metadata,Hotson Honet,2021-11-08 20:38:31.387000,48
lonnieqin/pawpularity-with-efficientnet-training,Pawpularity with EfficientNet: [training],Lonnie,2021-11-07 18:22:53.217000,48
jillanisofttech/pawpularity-contest-with-svr-new-accuracy,Pawpularity Contest with SVR New Accuracy,Jillani SofTech,2021-10-29 17:47:46.227000,48
chumajin/play-with-image-embedding,Play with image embedding,chumajin,2022-01-30 06:50:05.110000,47
max237/convnext-transfer-learning-in-pytorch-17-45,ConvNext Transfer Learning in Pytorch (17.45),Max Comer,2022-01-14 01:45:40.427000,47
somesh88/pawpularity-please-don-t-be-futile-swin-fastai,pawpularity please don't be futile (SWIN + fastai),Somesh88,2022-01-03 19:03:21.150000,47
anirudhg15/pawpular-competition-w-fastai-lb-18-0,Pawpular Competition 🐶🐱 w/ FastAI [LB 18.0],Anirudh Gokulaprasad,2023-07-04 02:42:35.900000,46
shakshyathedetector/pawpularity-with-efficientnet-with-socre-18-74,Pawpularity with EfficientNet with socre 18.74,Shubham Varshney,2021-11-23 12:45:12.147000,44
markerkor/petfindder-updated-rules-cheol-5fold,Petfindder updated rules_cheol_5fold,Cheol H. Jeong,2021-11-27 23:55:41.267000,43
dwsteve/csci3343-pset5,csci3343-pset5,dwsteve,2021-10-21 02:51:59.827000,42
karthikeya14/tez-pawpular-tuning,tez: pawpular tuning,Karthikeya Tirumalasetty,2021-10-15 06:45:01.613000,42
mpwolke/woof-woof-no-pawpular-oof,Woof Woof no Pawpular Oof,Marília Prata,2021-09-23 23:54:31.677000,42
debarshichanda/pawpularity-inference,Pawpularity Inference,Debarshi Chanda,2021-09-25 02:05:55.977000,41
max237/resnet50-transfer-learning-in-pytorch,Resnet50 Transfer Learning in Pytorch,Max Comer,2022-01-08 16:40:15.513000,40
danielkorth/quick-pawpularity-eda,Quick Pawpularity EDA,Daniel,2021-10-04 06:36:01.460000,40
